Symptom,Possible Diseases,Severity,Average Duration (days),Common in Region,Language Availability
Chest tightness,"Asthma, Anxiety attack, Angina",Moderate,1,Pan-India,"English, Hindi, Bengali, Marathi"
Sharp chest pain,"Pleurisy, Pericarditis, Muscle strain",Severe,3,Pan-India,"English, Hindi, Tamil, Telugu"
Burning sensation in chest,"Heartburn (GERD), Angina, Esophagitis",Moderate,2,Pan-India,"English, Hindi, Bengali, Malayalam"
Pain radiating to arm/jaw/back,"Heart attack, Angina",Severe,1,Pan-India,"English, Hindi, Tamil, Kannada"
Shortness of breath with exertion,"Heart failure, COPD, Anemia",Moderate,14,Pan-India,"English, Hindi, Bengali, Marathi"
Shortness of breath at rest,"Pulmonary embolism, Pneumonia, Severe heart failure",Severe,3,Pan-India,"English, Hindi, Tamil, Telugu"
Shortness of breath when lying flat (Orthopnea),"Heart failure, Severe COPD, Obesity",Severe,7,Pan-India,"English, Hindi, Bengali, Malayalam"
Waking up breathless (Paroxysmal nocturnal dyspnea),"Heart failure, Sleep apnea",Severe,7,Pan-India,"English, Hindi, Tamil, Kannada"
Rapid breathing (Tachypnea),"Pneumonia, Asthma attack, Anxiety",Moderate,3,Pan-India,"English, Hindi, Bengali, Marathi"
Shallow breathing,"Pain, Anxiety, Respiratory muscle weakness",Moderate,3,Pan-India,"English, Hindi, Tamil, Telugu"
Blue lips or fingernails (Cyanosis),"Hypoxia (low oxygen), Heart failure, Severe lung disease",Severe,1,North India,"English, Hindi, Punjabi, Urdu"
Clubbing of fingers/toes,"Chronic lung disease, Congenital heart disease, Lung cancer",Moderate,180,Pan-India,"English, Hindi, Tamil, Kannada"
Coughing up blood (Hemoptysis),"Tuberculosis, Lung cancer, Bronchiectasis",Severe,7,North India,"English, Hindi, Punjabi, Urdu"
Coughing up thick phlegm,"Bronchitis, Pneumonia, Cystic fibrosis",Moderate,14,North India,"English, Hindi, Punjabi, Urdu"
Coughing up yellow/green phlegm,"Bacterial infection (bronchitis, pneumonia)",Moderate,10,North India,"English, Hindi, Punjabi, Urdu"
Barking cough,"Croup, Laryngitis",Moderate,5,Pan-India,"English, Hindi, Bengali, Marathi"
Whooping cough sound,Pertussis,Severe,21,Pan-India,"English, Hindi, Tamil, Telugu"
Chronic cough (more than 8 weeks),"Asthma, COPD, Postnasal drip",Moderate,60,Pan-India,"English, Hindi, Bengali, Malayalam"
Voice change,"Laryngitis, Vocal cord nodules, Thyroid problems",Mild,10,Pan-India,"English, Hindi, Tamil, Kannada"
Loss of voice,"Laryngitis, Vocal cord paralysis, Overuse",Moderate,7,Pan-India,"English, Hindi, Bengali, Marathi"
Pain when speaking,"Laryngitis, Vocal cord strain",Mild,5,Pan-India,"English, Hindi, Tamil, Telugu"
Ear fullness,"Eustachian tube dysfunction, Earwax impaction, Meniere's disease",Mild,5,Pan-India,"English, Hindi, Bengali, Malayalam"
Ear discharge,"Ear infection (otitis media/externa), Ruptured eardrum",Moderate,7,Pan-India,"English, Hindi, Tamil, Kannada"
Ringing in one ear,"Tinnitus, Acoustic neuroma, Meniere's disease",Moderate,14,Pan-India,"English, Hindi, Bengali, Marathi"
Pulsating sound in ear,"Pulsatile tinnitus, Vascular abnormality, High blood pressure",Moderate,14,Pan-India,"English, Hindi, Tamil, Telugu"
Hearing voices when alone,"Auditory hallucinations (Schizophrenia, psychosis)",Severe,30,Pan-India,"English, Hindi, Bengali, Malayalam"
Muffled hearing,"Earwax impaction, Otitis media, Eustachian tube dysfunction",Mild,7,Pan-India,"English, Hindi, Tamil, Kannada"
Sudden hearing loss,"Sensorineural hearing loss, Viral infection, Stroke",Severe,3,Pan-India,"English, Hindi, Bengali, Marathi"
Gradual hearing loss,"Age-related hearing loss, Noise exposure, Otosclerosis",Moderate,365,Pan-India,"English, Hindi, Tamil, Telugu"
Pain behind the ear,"Mastoiditis, Otitis media, Shingles",Moderate,7,Pan-India,"English, Hindi, Bengali, Malayalam"
Itchy ear canal,"Otitis externa (swimmer's ear), Eczema, Fungal infection",Mild,5,Pan-India,"English, Hindi, Tamil, Kannada"
Eye redness,"Conjunctivitis (pink eye), Dry eye, Uveitis",Mild,7,Pan-India,"English, Hindi, Bengali, Marathi"
Eye discharge (pus or watery),"Conjunctivitis, Blocked tear duct, Corneal ulcer",Mild,7,Pan-India,"English, Hindi, Tamil, Telugu"
Gritty sensation in eye,"Dry eye syndrome, Foreign body, Blepharitis",Mild,3,Pan-India,"English, Hindi, Bengali, Malayalam"
Crusting of eyelids upon waking,"Blepharitis, Conjunctivitis",Mild,7,Pan-India,"English, Hindi, Tamil, Kannada"
Stye (painful lump on eyelid),Infected eyelash follicle,Mild,7,Pan-India,"English, Hindi, Bengali, Marathi"
Chalazion (painless lump on eyelid),Blocked oil gland,Mild,30,Pan-India,"English, Hindi, Tamil, Telugu"
Droopy eyelid (Ptosis),"Myasthenia gravis, Nerve damage, Aging",Moderate,60,Pan-India,"English, Hindi, Bengali, Malayalam"
Eyelid twitching,"Stress, Fatigue, Caffeine",Mild,3,Pan-India,"English, Hindi, Tamil, Kannada"
Inability to close eye completely,"Bell's palsy, Stroke, Facial nerve injury",Severe,14,Pan-India,"English, Hindi, Bengali, Marathi"
Seeing floaters,"Posterior vitreous detachment, Retinal tear, Uveitis",Mild,14,Pan-India,"English, Hindi, Tamil, Telugu"
Seeing flashes of light,"Retinal tear or detachment, Migraine aura",Severe,1,Pan-India,"English, Hindi, Bengali, Malayalam"
Curtain or veil over vision,Retinal detachment,Severe,1,Pan-India,"English, Hindi, Tamil, Kannada"
Tunnel vision,"Glaucoma, Retinitis pigmentosa, Stroke",Severe,180,Pan-India,"English, Hindi, Bengali, Marathi"
Blind spots in vision,"Macular degeneration, Glaucoma, Optic neuritis",Moderate,60,Pan-India,"English, Hindi, Tamil, Telugu"
Distorted vision (straight lines appear wavy),"Macular degeneration, Diabetic retinopathy",Moderate,30,Pan-India,"English, Hindi, Bengali, Malayalam"
Difficulty seeing at night,"Night blindness (Vitamin A def.), Cataracts, Retinitis pigmentosa",Moderate,60,Rural India,"English, Hindi, Tamil, Kannada"
Halos around lights,"Cataracts, Glaucoma, Corneal edema",Moderate,30,Pan-India,"English, Hindi, Bengali, Marathi"
Need for brighter light when reading,"Presbyopia (age-related farsightedness), Cataracts",Mild,180,Pan-India,"English, Hindi, Tamil, Telugu"
Frequent changes in eyeglass prescription,"Diabetes, Cataracts, Keratoconus",Moderate,90,Pan-India,"English, Hindi, Bengali, Malayalam"
Crossed eyes (Strabismus),"Muscle imbalance, Nerve problems, Refractive error",Moderate,180,Pan-India,"English, Hindi, Tamil, Kannada"
Lazy eye (Amblyopia),"Strabismus, Unequal refractive error, Cataract in childhood",Moderate,365,Pan-India,"English, Hindi, Bengali, Marathi"
Skin sensitivity to touch,"Neuropathy, Fibromyalgia, Sunburn",Moderate,14,Pan-India,"English, Hindi, Tamil, Telugu"
Skin thickening,"Scleroderma, Lymphedema, Chronic eczema",Moderate,180,Pan-India,"English, Hindi, Bengali, Malayalam"
Skin thinning,"Aging, Long-term steroid use, Cushing's syndrome",Mild,180,Pan-India,"English, Hindi, Tamil, Kannada"
Stretch marks (Striae),"Rapid weight gain/loss, Pregnancy, Cushing's syndrome",Mild,365,Pan-India,"English, Hindi, Bengali, Marathi"
Purple spots on skin (Purpura),"Vasculitis, Bleeding disorders, Medication reaction",Moderate,14,Pan-India,"English, Hindi, Tamil, Telugu"
Pinpoint red spots on skin (Petechiae),"Thrombocytopenia, Infection (meningitis, sepsis), Leukemia",Severe,7,Pan-India,"English, Hindi, Bengali, Malayalam"
Yellow bumps on skin (Xanthomas),"High cholesterol, Diabetes",Mild,90,Pan-India,"English, Hindi, Tamil, Kannada"
Pearly or waxy bump on skin,"Basal cell carcinoma, Sebaceous hyperplasia",Moderate,180,Pan-India,"English, Hindi, Bengali, Marathi"
Firm red nodule on skin,"Squamous cell carcinoma, Keratoacanthoma",Moderate,90,Pan-India,"English, Hindi, Tamil, Telugu"
Sore that does not heal,"Skin cancer (basal cell, squamous cell), Chronic infection",Severe,30,Pan-India,"English, Hindi, Tamil, Kannada"
Loss of pigment in patches (Vitiligo),Autoimmune condition,Mild,3650,Pan-India,"English, Hindi, Bengali, Marathi"
Darkening of skin creases,"Addison's disease, Acanthosis nigricans (insulin resistance)",Moderate,90,Pan-India,"English, Hindi, Tamil, Telugu"
Bronze skin,"Hemochromatosis, Addison's disease",Moderate,180,Pan-India,"English, Hindi, Bengali, Malayalam"
Butterfly rash across face,Systemic lupus erythematosus (SLE),Moderate,30,Pan-India,"English, Hindi, Tamil, Kannada"
Raynaud's phenomenon (fingers change color in cold),"Raynaud's disease, Scleroderma, Lupus",Mild,14,North India,"English, Hindi, Punjabi, Urdu"
Joint deformities,"Rheumatoid arthritis, Osteoarthritis",Severe,365,Pan-India,"English, Hindi, Bengali, Malayalam"
Reduced range of motion in joints,"Arthritis, Injury, Frozen shoulder",Moderate,30,Pan-India,"English, Hindi, Tamil, Kannada"
Bone pain,"Osteoporosis (fracture), Bone cancer, Paget's disease",Severe,21,Pan-India,"English, Hindi, Bengali, Marathi"
Curvature of the spine,"Scoliosis, Kyphosis, Osteoporosis",Moderate,365,Pan-India,"English, Hindi, Tamil, Telugu"
Loss of height,"Osteoporosis (vertebral fractures), Degenerative disc disease",Moderate,365,Pan-India,"English, Hindi, Bengali, Malayalam"
Feeling cold all the time,"Hypothyroidism, Anemia, Poor circulation",Mild,30,North India,"English, Hindi, Punjabi, Urdu"
Feeling hot all the time,"Hyperthyroidism, Menopause, Anxiety",Mild,21,Pan-India,"English, Hindi, Tamil, Kannada"
Pounding heart,"Palpitations, Anxiety, Arrhythmia",Moderate,1,Pan-India,"English, Hindi, Bengali, Marathi"
Skipped heartbeats,"Premature atrial/ventricular contractions (PACs/PVCs), Anxiety",Mild,1,Pan-India,"English, Hindi, Tamil, Telugu"
Rapid heartbeat (Tachycardia),"Anxiety, Arrhythmia (SVT, Afib), Hyperthyroidism",Moderate,1,Pan-India,"English, Hindi, Bengali, Malayalam"
Slow heartbeat (Bradycardia),"Heart block, Sick sinus syndrome, Medications",Moderate,1,Pan-India,"English, Hindi, Tamil, Kannada"
Swelling in legs and ankles,"Heart failure, Kidney disease, Venous insufficiency",Moderate,14,Pan-India,"English, Hindi, Bengali, Marathi"
Swelling in abdomen (Ascites),"Liver cirrhosis, Heart failure, Kidney disease",Severe,21,Pan-India,"English, Hindi, Tamil, Telugu"
Prominent neck veins,"Heart failure, Superior vena cava obstruction",Severe,14,Pan-India,"English, Hindi, Bengali, Malayalam"
Calf pain when walking (Claudication),Peripheral artery disease,Moderate,14,Pan-India,"English, Hindi, Tamil, Kannada"
Sores on feet or legs that heal slowly,"Peripheral artery disease, Diabetes",Severe,60,Pan-India,"English, Hindi, Bengali, Marathi"
One leg swollen and painful,"Deep vein thrombosis (DVT), Cellulitis",Severe,5,Pan-India,"English, Hindi, Bengali, Malayalam"
Headache worse in the morning,"Brain tumor, Sleep apnea, High blood pressure",Moderate,14,Pan-India,"English, Hindi, Bengali, Marathi"
Headache with fever and stiff neck,Meningitis,Severe,3,Pan-India,"English, Hindi, Tamil, Telugu"
Headache after head injury,"Concussion, Subdural hematoma",Moderate,7,Pan-India,"English, Hindi, Bengali, Malayalam"
Band-like pressure around head,Tension headache,Mild,3,Pan-India,"English, Hindi, Bengali, Marathi"
Severe pain around one eye,Cluster headache,Severe,1,Pan-India,"English, Hindi, Tamil, Telugu"
Tenderness of scalp,"Temporal arteritis, Tension headache",Moderate,7,Pan-India,"English, Hindi, Bengali, Malayalam"
General malaise (feeling unwell),"Viral infection, Chronic fatigue syndrome, Anemia",Mild,7,Pan-India,"English, Hindi, Tamil, Kannada"
Chills,"Fever, Infection, Hypothermia",Moderate,3,Pan-India,"English, Hindi, Bengali, Marathi"
Fever that comes and goes,"Malaria, Tuberculosis, Lymphoma",Moderate,14,Pan-India,"English, Hindi, Tamil, Telugu"
High fever (above 103F or 39.4C),"Severe infection (sepsis, pneumonia), Heat stroke",Severe,5,Pan-India,"English, Hindi, Bengali, Malayalam"
Low body temperature (Hypothermia),"Exposure to cold, Hypothyroidism, Sepsis (in elderly/infants)",Severe,1,North India,"English, Hindi, Punjabi, Urdu"
Poor wound healing,"Diabetes, Poor circulation, Malnutrition",Moderate,21,Pan-India,"English, Hindi, Tamil, Kannada"
Recurrent infections,"Immunodeficiency, Diabetes, Chronic steroid use",Moderate,30,Pan-India,"English, Hindi, Bengali, Marathi"
Slow growth in children,"Growth hormone deficiency, Malnutrition, Hypothyroidism",Moderate,365,Rural India,"English, Hindi, Tamil, Telugu"
Delayed milestones in children,"Developmental delay, Autism spectrum disorder, Cerebral palsy",Severe,365,Pan-India,"English, Hindi, Bengali, Malayalam"
Learning disability,"Specific learning disorder (dyslexia, dyscalculia), ADHD",Moderate,365,Urban India,"English, Hindi, Tamil, Kannada"
Behavioral problems in children,"ADHD, Oppositional defiant disorder, Conduct disorder",Moderate,180,Urban India,"English, Hindi, Bengali, Marathi"
Bedwetting (Enuresis) beyond age 5,"Delayed bladder control, Urinary tract infection, Sleep apnea",Mild,30,Pan-India,"English, Hindi, Tamil, Telugu"
