subject,relation,object
"Pressure, Friction, Improper footwear",common in,Urban India
"Pressure, Friction, Improper footwear",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Warts,indicates,"Human papillomavirus, Immune suppression, Skin trauma"
"Human papillomavirus, Immune suppression, Skin trauma",has severity,Mild
"Human papillomavirus, Immune suppression, Skin trauma",lasts for,180 days
"Human papillomavirus, Immune suppression, Skin trauma",common in,Pan-India
"Human papillomavirus, Immune suppression, Skin trauma",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Varicose veins,indicates,"Chronic venous insufficiency, Pregnancy, Prolonged standing"
"Chronic venous insufficiency, Pregnancy, Prolonged standing",has severity,Mild
"Chronic venous insufficiency, Pregnancy, Prolonged standing",lasts for,365 days
"Chronic venous insufficiency, Pregnancy, Prolonged standing",common in,Pan-India
"Chronic venous insufficiency, Pregnancy, Prolonged standing",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Spider veins,indicates,"Chronic venous insufficiency, Liver disease, Hormonal changes"
"Chronic venous insufficiency, Liver disease, Hormonal changes",has severity,Mild
"Chronic venous insufficiency, Liver disease, Hormonal changes",lasts for,365 days
"Chronic venous insufficiency, Liver disease, Hormonal changes",common in,Pan-India
"Chronic venous insufficiency, Liver disease, Hormonal changes",available in language,"English, Hindi, Tamil, Kannada"
Cold sores,indicates,"Herpes simplex virus, Weakened immune system, Stress"
"Herpes simplex virus, Weakened immune system, Stress",has severity,Mild
"Herpes simplex virus, Weakened immune system, Stress",lasts for,10 days
"Herpes simplex virus, Weakened immune system, Stress",common in,Pan-India
"Herpes simplex virus, Weakened immune system, Stress",available in language,"English, Hindi, Bengali, Marathi"
Leg cramps at night,indicates,"Dehydration, Electrolyte imbalance, Peripheral artery disease"
"Dehydration, Electrolyte imbalance, Peripheral artery disease",has severity,Moderate
"Dehydration, Electrolyte imbalance, Peripheral artery disease",lasts for,1 days
"Dehydration, Electrolyte imbalance, Peripheral artery disease",common in,Pan-India
"Dehydration, Electrolyte imbalance, Peripheral artery disease",available in language,"English, Hindi, Tamil, Telugu"
Restless legs,indicates,"Restless legs syndrome, Iron deficiency, Kidney failure"
"Restless legs syndrome, Iron deficiency, Kidney failure",has severity,Moderate
"Restless legs syndrome, Iron deficiency, Kidney failure",lasts for,30 days
"Restless legs syndrome, Iron deficiency, Kidney failure",common in,Pan-India
"Restless legs syndrome, Iron deficiency, Kidney failure",available in language,"English, Hindi, Bengali, Marathi"
Flank pain,indicates,"Kidney stones, Pyelonephritis, Muscle strain"
"Kidney stones, Pyelonephritis, Muscle strain",has severity,Severe
"Kidney stones, Pyelonephritis, Muscle strain",lasts for,7 days
"Kidney stones, Pyelonephritis, Muscle strain",common in,Pan-India
"Kidney stones, Pyelonephritis, Muscle strain",available in language,"English, Hindi, Tamil, Telugu, Kannada"
Pelvic pain,indicates,"Endometriosis, Pelvic inflammatory disease, Ovarian cysts"
"Endometriosis, Pelvic inflammatory disease, Ovarian cysts",has severity,Moderate
"Endometriosis, Pelvic inflammatory disease, Ovarian cysts",lasts for,21 days
"Endometriosis, Pelvic inflammatory disease, Ovarian cysts",common in,Pan-India
"Endometriosis, Pelvic inflammatory disease, Ovarian cysts",available in language,"English, Hindi, Tamil, Bengali"
Groin pain,indicates,"Hernia, Muscle strain, Kidney stones"
"Hernia, Muscle strain, Kidney stones",has severity,Moderate
"Hernia, Muscle strain, Kidney stones",lasts for,10 days
"Hernia, Muscle strain, Kidney stones",common in,Pan-India
"Hernia, Muscle strain, Kidney stones",available in language,"English, Hindi, Marathi, Gujarati"
Heel pain,indicates,"Plantar fasciitis, Achilles tendinitis, Heel spurs"
"Plantar fasciitis, Achilles tendinitis, Heel spurs",has severity,Moderate
"Plantar fasciitis, Achilles tendinitis, Heel spurs",lasts for,30 days
"Plantar fasciitis, Achilles tendinitis, Heel spurs",common in,Pan-India
"Plantar fasciitis, Achilles tendinitis, Heel spurs",available in language,"English, Hindi, Tamil, Malayalam"
Wrist pain,indicates,"Carpal tunnel syndrome, Tendinitis, Arthritis"
"Carpal tunnel syndrome, Tendinitis, Arthritis",has severity,Moderate
"Carpal tunnel syndrome, Tendinitis, Arthritis",lasts for,21 days
"Carpal tunnel syndrome, Tendinitis, Arthritis",common in,Urban India
"Carpal tunnel syndrome, Tendinitis, Arthritis",available in language,"English, Hindi, Marathi, Bengali"
Finger pain,indicates,"Arthritis, Trigger finger, Raynaud's disease"
"Arthritis, Trigger finger, Raynaud's disease",has severity,Moderate
"Arthritis, Trigger finger, Raynaud's disease",lasts for,14 days
"Arthritis, Trigger finger, Raynaud's disease",common in,Pan-India
"Arthritis, Trigger finger, Raynaud's disease",available in language,"English, Hindi, Tamil, Telugu"
Toe pain,indicates,"Gout, Bunion, Ingrown toenail"
"Gout, Bunion, Ingrown toenail",has severity,Moderate
"Gout, Bunion, Ingrown toenail",lasts for,7 days
"Gout, Bunion, Ingrown toenail",common in,Pan-India
"Gout, Bunion, Ingrown toenail",available in language,"English, Hindi, Bengali, Marathi"
Shoulder stiffness,indicates,"Frozen shoulder, Arthritis, Rotator cuff injury"
"Frozen shoulder, Arthritis, Rotator cuff injury",has severity,Moderate
"Frozen shoulder, Arthritis, Rotator cuff injury",lasts for,180 days
"Frozen shoulder, Arthritis, Rotator cuff injury",common in,Pan-India
"Frozen shoulder, Arthritis, Rotator cuff injury",available in language,"English, Hindi, Tamil, Malayalam"
Neck stiffness,indicates,"Meningitis, Cervical spondylosis, Muscle strain"
"Meningitis, Cervical spondylosis, Muscle strain",has severity,Moderate
"Meningitis, Cervical spondylosis, Muscle strain",lasts for,7 days
"Meningitis, Cervical spondylosis, Muscle strain",common in,Pan-India
"Meningitis, Cervical spondylosis, Muscle strain",available in language,"English, Hindi, Bengali, Marathi"
Back stiffness,indicates,"Ankylosing spondylitis, Muscle strain, Degenerative disc disease"
"Ankylosing spondylitis, Muscle strain, Degenerative disc disease",has severity,Moderate
"Ankylosing spondylitis, Muscle strain, Degenerative disc disease",lasts for,14 days
"Ankylosing spondylitis, Muscle strain, Degenerative disc disease",common in,Pan-India
"Ankylosing spondylitis, Muscle strain, Degenerative disc disease",available in language,"English, Hindi, Tamil, Kannada"
Hip pain,indicates,"Arthritis, Bursitis, Sciatica"
"Arthritis, Bursitis, Sciatica",has severity,Moderate
"Arthritis, Bursitis, Sciatica",lasts for,30 days
"Arthritis, Bursitis, Sciatica",common in,Pan-India
"Arthritis, Bursitis, Sciatica",available in language,"English, Hindi, Telugu, Marathi"
Knee clicking,indicates,"Meniscus tear, Arthritis, Ligament injury"
"Meniscus tear, Arthritis, Ligament injury",has severity,Mild
"Meniscus tear, Arthritis, Ligament injury",lasts for,21 days
"Meniscus tear, Arthritis, Ligament injury",common in,Pan-India
"Meniscus tear, Arthritis, Ligament injury",available in language,"English, Hindi, Tamil, Bengali"
Knee locking,indicates,"Meniscus tear, Loose body, Patellar dislocation"
"Meniscus tear, Loose body, Patellar dislocation",has severity,Moderate
"Meniscus tear, Loose body, Patellar dislocation",lasts for,7 days
"Meniscus tear, Loose body, Patellar dislocation",common in,Pan-India
"Meniscus tear, Loose body, Patellar dislocation",available in language,"English, Hindi, Tamil, Kannada"
Knee instability,indicates,"Ligament tear (ACL/PCL), Patellar instability, Muscle weakness"
"Ligament tear (ACL/PCL), Patellar instability, Muscle weakness",has severity,Severe
"Ligament tear (ACL/PCL), Patellar instability, Muscle weakness",lasts for,60 days
"Ligament tear (ACL/PCL), Patellar instability, Muscle weakness",common in,Pan-India
"Ligament tear (ACL/PCL), Patellar instability, Muscle weakness",available in language,"English, Hindi, Telugu, Malayalam"
Elbow pain,indicates,"Tennis elbow, Golfer's elbow, Arthritis"
"Tennis elbow, Golfer's elbow, Arthritis",has severity,Moderate
"Tennis elbow, Golfer's elbow, Arthritis",lasts for,30 days
"Tennis elbow, Golfer's elbow, Arthritis",common in,Pan-India
"Tennis elbow, Golfer's elbow, Arthritis",available in language,"English, Hindi, Bengali, Marathi"
Muscle twitching,indicates,"Benign fasciculation syndrome, Electrolyte imbalance, Motor neuron disease"
"Benign fasciculation syndrome, Electrolyte imbalance, Motor neuron disease",has severity,Mild
"Benign fasciculation syndrome, Electrolyte imbalance, Motor neuron disease",lasts for,5 days
"Benign fasciculation syndrome, Electrolyte imbalance, Motor neuron disease",common in,Pan-India
"Benign fasciculation syndrome, Electrolyte imbalance, Motor neuron disease",available in language,"English, Hindi, Tamil, Telugu"
Muscle spasms,indicates,"Dehydration, Muscle fatigue, Electrolyte imbalance"
"Dehydration, Muscle fatigue, Electrolyte imbalance",has severity,Mild
"Dehydration, Muscle fatigue, Electrolyte imbalance",lasts for,2 days
"Dehydration, Muscle fatigue, Electrolyte imbalance",common in,Pan-India
"Dehydration, Muscle fatigue, Electrolyte imbalance",available in language,"English, Hindi, Kannada, Malayalam"
Muscle soreness after exercise,indicates,"Delayed onset muscle soreness (DOMS), Muscle strain, Rhabdomyolysis"
"Delayed onset muscle soreness (DOMS), Muscle strain, Rhabdomyolysis",has severity,Mild
"Delayed onset muscle soreness (DOMS), Muscle strain, Rhabdomyolysis",lasts for,3 days
"Delayed onset muscle soreness (DOMS), Muscle strain, Rhabdomyolysis",common in,Pan-India
"Delayed onset muscle soreness (DOMS), Muscle strain, Rhabdomyolysis",available in language,"English, Hindi, Marathi, Bengali"
Tingling sensation,indicates,"Peripheral neuropathy, Vitamin deficiency, Carpal tunnel syndrome"
"Peripheral neuropathy, Vitamin deficiency, Carpal tunnel syndrome",has severity,Moderate
"Peripheral neuropathy, Vitamin deficiency, Carpal tunnel syndrome",lasts for,21 days
"Peripheral neuropathy, Vitamin deficiency, Carpal tunnel syndrome",common in,Pan-India
"Peripheral neuropathy, Vitamin deficiency, Carpal tunnel syndrome",available in language,"English, Hindi, Tamil, Telugu"
Burning sensation on skin,indicates,"Neuropathy, Shingles, Sunburn"
"Neuropathy, Shingles, Sunburn",has severity,Moderate
"Neuropathy, Shingles, Sunburn",lasts for,14 days
"Neuropathy, Shingles, Sunburn",common in,Pan-India
"Neuropathy, Shingles, Sunburn",available in language,"English, Hindi, Bengali, Malayalam"
Crawling sensation on skin,indicates,"Formication, Peripheral neuropathy, Delusional parasitosis"
"Formication, Peripheral neuropathy, Delusional parasitosis",has severity,Mild
"Formication, Peripheral neuropathy, Delusional parasitosis",lasts for,7 days
"Formication, Peripheral neuropathy, Delusional parasitosis",common in,Pan-India
"Formication, Peripheral neuropathy, Delusional parasitosis",available in language,"English, Hindi, Tamil, Kannada"
Loss of coordination,indicates,"Ataxia, Stroke, Multiple sclerosis"
"Ataxia, Stroke, Multiple sclerosis",has severity,Severe
"Ataxia, Stroke, Multiple sclerosis",lasts for,30 days
"Ataxia, Stroke, Multiple sclerosis",common in,Pan-India
"Ataxia, Stroke, Multiple sclerosis",available in language,"English, Hindi, Bengali, Marathi"
Clumsiness,indicates,"Dyspraxia, Ataxia, Vitamin B12 deficiency"
"Dyspraxia, Ataxia, Vitamin B12 deficiency",has severity,Moderate
"Dyspraxia, Ataxia, Vitamin B12 deficiency",lasts for,60 days
"Dyspraxia, Ataxia, Vitamin B12 deficiency",common in,Pan-India
"Dyspraxia, Ataxia, Vitamin B12 deficiency",available in language,"English, Hindi, Tamil, Telugu"
Difficulty walking,indicates,"Peripheral neuropathy, Parkinson's disease, Arthritis"
"Peripheral neuropathy, Parkinson's disease, Arthritis",has severity,Moderate
"Peripheral neuropathy, Parkinson's disease, Arthritis",lasts for,30 days
"Peripheral neuropathy, Parkinson's disease, Arthritis",common in,Pan-India
"Peripheral neuropathy, Parkinson's disease, Arthritis",available in language,"English, Hindi, Bengali, Malayalam"
Shuffling gait,indicates,"Parkinson's disease, Normal pressure hydrocephalus, Stroke"
"Parkinson's disease, Normal pressure hydrocephalus, Stroke",has severity,Severe
"Parkinson's disease, Normal pressure hydrocephalus, Stroke",lasts for,180 days
"Parkinson's disease, Normal pressure hydrocephalus, Stroke",common in,Pan-India
"Parkinson's disease, Normal pressure hydrocephalus, Stroke",available in language,"English, Hindi, Tamil, Kannada"
Difficulty standing up,indicates,"Muscle weakness, Orthostatic hypotension, Parkinson's disease"
"Muscle weakness, Orthostatic hypotension, Parkinson's disease",has severity,Moderate
"Muscle weakness, Orthostatic hypotension, Parkinson's disease",lasts for,14 days
"Muscle weakness, Orthostatic hypotension, Parkinson's disease",common in,Pan-India
"Muscle weakness, Orthostatic hypotension, Parkinson's disease",available in language,"English, Hindi, Bengali, Marathi"
Difficulty reaching overhead,indicates,"Rotator cuff injury, Frozen shoulder, Arthritis"
"Rotator cuff injury, Frozen shoulder, Arthritis",has severity,Moderate
"Rotator cuff injury, Frozen shoulder, Arthritis",lasts for,21 days
"Rotator cuff injury, Frozen shoulder, Arthritis",common in,Pan-India
"Rotator cuff injury, Frozen shoulder, Arthritis",available in language,"English, Hindi, Tamil, Telugu"
Difficulty gripping objects,indicates,"Carpal tunnel syndrome, Arthritis, Peripheral neuropathy"
"Carpal tunnel syndrome, Arthritis, Peripheral neuropathy",has severity,Moderate
"Carpal tunnel syndrome, Arthritis, Peripheral neuropathy",lasts for,30 days
"Carpal tunnel syndrome, Arthritis, Peripheral neuropathy",common in,Pan-India
"Carpal tunnel syndrome, Arthritis, Peripheral neuropathy",available in language,"English, Hindi, Bengali, Malayalam"
Dropping objects frequently,indicates,"Peripheral neuropathy, Carpal tunnel syndrome, Muscle weakness"
"Peripheral neuropathy, Carpal tunnel syndrome, Muscle weakness",has severity,Moderate
"Peripheral neuropathy, Carpal tunnel syndrome, Muscle weakness",lasts for,21 days
"Peripheral neuropathy, Carpal tunnel syndrome, Muscle weakness",common in,Pan-India
"Peripheral neuropathy, Carpal tunnel syndrome, Muscle weakness",available in language,"English, Hindi, Tamil, Kannada"
Hand tremors when writing,indicates,"Essential tremor, Parkinson's disease, Anxiety"
"Essential tremor, Parkinson's disease, Anxiety",has severity,Moderate
"Essential tremor, Parkinson's disease, Anxiety",lasts for,60 days
"Essential tremor, Parkinson's disease, Anxiety",common in,Pan-India
"Essential tremor, Parkinson's disease, Anxiety",available in language,"English, Hindi, Bengali, Marathi"
Shaky voice,indicates,"Vocal tremor, Parkinson's disease, Anxiety"
"Vocal tremor, Parkinson's disease, Anxiety",has severity,Moderate
"Vocal tremor, Parkinson's disease, Anxiety",lasts for,30 days
"Vocal tremor, Parkinson's disease, Anxiety",common in,Pan-India
"Vocal tremor, Parkinson's disease, Anxiety",available in language,"English, Hindi, Tamil, Telugu"
Slow speech,indicates,"Parkinson's disease, Stroke, Hypothyroidism"
"Parkinson's disease, Stroke, Hypothyroidism",has severity,Moderate
"Parkinson's disease, Stroke, Hypothyroidism",lasts for,30 days
"Parkinson's disease, Stroke, Hypothyroidism",common in,Pan-India
"Parkinson's disease, Stroke, Hypothyroidism",available in language,"English, Hindi, Bengali, Malayalam"
Monotone voice,indicates,"Parkinson's disease, Depression, Autism spectrum disorder"
"Parkinson's disease, Depression, Autism spectrum disorder",has severity,Moderate
"Parkinson's disease, Depression, Autism spectrum disorder",lasts for,60 days
"Parkinson's disease, Depression, Autism spectrum disorder",common in,Pan-India
"Parkinson's disease, Depression, Autism spectrum disorder",available in language,"English, Hindi, Tamil, Kannada"
Difficulty finding words,indicates,"Aphasia (stroke-related), Dementia, Anxiety"
"Aphasia (stroke-related), Dementia, Anxiety",has severity,Moderate
"Aphasia (stroke-related), Dementia, Anxiety",lasts for,14 days
"Aphasia (stroke-related), Dementia, Anxiety",common in,Pan-India
"Aphasia (stroke-related), Dementia, Anxiety",available in language,"English, Hindi, Bengali, Marathi"
Feeling faint,indicates,"Vasovagal syncope, Orthostatic hypotension, Anemia"
"Vasovagal syncope, Orthostatic hypotension, Anemia",has severity,Moderate
"Vasovagal syncope, Orthostatic hypotension, Anemia",lasts for,1 days
"Vasovagal syncope, Orthostatic hypotension, Anemia",common in,Pan-India
"Vasovagal syncope, Orthostatic hypotension, Anemia",available in language,"English, Hindi, Tamil, Telugu"
Near fainting,indicates,"Presyncope, Dehydration, Low blood sugar"
"Presyncope, Dehydration, Low blood sugar",has severity,Moderate
"Presyncope, Dehydration, Low blood sugar",lasts for,1 days
"Presyncope, Dehydration, Low blood sugar",common in,Pan-India
"Presyncope, Dehydration, Low blood sugar",available in language,"English, Hindi, Bengali, Malayalam"
Lightheadedness,indicates,"Orthostatic hypotension, Inner ear problems, Dehydration"
"Orthostatic hypotension, Inner ear problems, Dehydration",has severity,Mild
"Orthostatic hypotension, Inner ear problems, Dehydration",lasts for,3 days
"Orthostatic hypotension, Inner ear problems, Dehydration",common in,Pan-India
"Orthostatic hypotension, Inner ear problems, Dehydration",available in language,"English, Hindi, Tamil, Kannada"
Room spinning sensation,indicates,"Vertigo, Benign paroxysmal positional vertigo (BPPV), Meniere's disease"
"Vertigo, Benign paroxysmal positional vertigo (BPPV), Meniere's disease",has severity,Moderate
"Vertigo, Benign paroxysmal positional vertigo (BPPV), Meniere's disease",lasts for,5 days
"Vertigo, Benign paroxysmal positional vertigo (BPPV), Meniere's disease",common in,Pan-India
"Vertigo, Benign paroxysmal positional vertigo (BPPV), Meniere's disease",available in language,"English, Hindi, Bengali, Marathi"
Unsteadiness,indicates,"Balance disorder, Peripheral neuropathy, Vision problems"
"Balance disorder, Peripheral neuropathy, Vision problems",has severity,Moderate
"Balance disorder, Peripheral neuropathy, Vision problems",lasts for,14 days
"Balance disorder, Peripheral neuropathy, Vision problems",common in,Pan-India
"Balance disorder, Peripheral neuropathy, Vision problems",available in language,"English, Hindi, Tamil, Telugu"
Feeling detached,indicates,"Depersonalization disorder, Anxiety, PTSD"
"Depersonalization disorder, Anxiety, PTSD",has severity,Moderate
"Depersonalization disorder, Anxiety, PTSD",lasts for,21 days
"Depersonalization disorder, Anxiety, PTSD",common in,Urban India
"Depersonalization disorder, Anxiety, PTSD",available in language,"English, Hindi, Bengali, Malayalam"
Feeling unreal,indicates,"Derealization disorder, Panic attack, Migraine aura"
"Derealization disorder, Panic attack, Migraine aura",has severity,Moderate
"Derealization disorder, Panic attack, Migraine aura",lasts for,1 days
"Derealization disorder, Panic attack, Migraine aura",common in,Urban India
"Derealization disorder, Panic attack, Migraine aura",available in language,"English, Hindi, Tamil, Kannada"
Memory lapses,indicates,"Stress, Aging, Dementia"
"Stress, Aging, Dementia",has severity,Mild
"Stress, Aging, Dementia",lasts for,7 days
"Stress, Aging, Dementia",common in,Pan-India
"Stress, Aging, Dementia",available in language,"English, Hindi, Bengali, Marathi"
Difficulty concentrating,indicates,"ADHD, Anxiety, Depression"
"ADHD, Anxiety, Depression",has severity,Moderate
"ADHD, Anxiety, Depression",lasts for,30 days
"ADHD, Anxiety, Depression",common in,Urban India
"ADHD, Anxiety, Depression",available in language,"English, Hindi, Tamil, Telugu"
Poor judgment,indicates,"Dementia, Stroke, Substance abuse"
"Dementia, Stroke, Substance abuse",has severity,Severe
"Dementia, Stroke, Substance abuse",lasts for,60 days
"Dementia, Stroke, Substance abuse",common in,Pan-India
"Dementia, Stroke, Substance abuse",available in language,"English, Hindi, Bengali, Malayalam"
Confusion about time or place,indicates,"Dementia, Delirium, Stroke"
"Dementia, Delirium, Stroke",has severity,Severe
"Dementia, Delirium, Stroke",lasts for,7 days
"Dementia, Delirium, Stroke",common in,Pan-India
"Dementia, Delirium, Stroke",available in language,"English, Hindi, Tamil, Kannada"
Getting lost in familiar places,indicates,"Alzheimer's disease, Dementia, Stroke"
"Alzheimer's disease, Dementia, Stroke",has severity,Severe
"Alzheimer's disease, Dementia, Stroke",lasts for,30 days
"Alzheimer's disease, Dementia, Stroke",common in,Pan-India
"Alzheimer's disease, Dementia, Stroke",available in language,"English, Hindi, Bengali, Marathi"
Difficulty planning or organizing,indicates,"Dementia, ADHD, Depression"
"Dementia, ADHD, Depression",has severity,Moderate
"Dementia, ADHD, Depression",lasts for,60 days
"Dementia, ADHD, Depression",common in,Pan-India
"Dementia, ADHD, Depression",available in language,"English, Hindi, Tamil, Telugu"
Problems with abstract thinking,indicates,"Dementia, Schizophrenia, Stroke"
"Dementia, Schizophrenia, Stroke",has severity,Severe
"Dementia, Schizophrenia, Stroke",lasts for,90 days
"Dementia, Schizophrenia, Stroke",common in,Pan-India
"Dementia, Schizophrenia, Stroke",available in language,"English, Hindi, Bengali, Malayalam"
Mood swings,indicates,"Bipolar disorder, Hormonal changes, Premenstrual syndrome (PMS)"
"Bipolar disorder, Hormonal changes, Premenstrual syndrome (PMS)",has severity,Moderate
"Bipolar disorder, Hormonal changes, Premenstrual syndrome (PMS)",lasts for,14 days
"Bipolar disorder, Hormonal changes, Premenstrual syndrome (PMS)",common in,Pan-India
"Bipolar disorder, Hormonal changes, Premenstrual syndrome (PMS)",available in language,"English, Hindi, Tamil, Kannada"
Irritability,indicates,"Anxiety, Depression, PMS"
"Anxiety, Depression, PMS",has severity,Mild
"Anxiety, Depression, PMS",lasts for,7 days
"Anxiety, Depression, PMS",common in,Pan-India
"Anxiety, Depression, PMS",available in language,"English, Hindi, Bengali, Marathi"
Agitation,indicates,"Anxiety, Dementia, Hyperthyroidism"
"Anxiety, Dementia, Hyperthyroidism",has severity,Moderate
"Anxiety, Dementia, Hyperthyroidism",lasts for,14 days
"Anxiety, Dementia, Hyperthyroidism",common in,Pan-India
"Anxiety, Dementia, Hyperthyroidism",available in language,"English, Hindi, Tamil, Telugu"
Restlessness,indicates,"Anxiety, Restless legs syndrome, Hyperthyroidism"
"Anxiety, Restless legs syndrome, Hyperthyroidism",has severity,Moderate
"Anxiety, Restless legs syndrome, Hyperthyroidism",lasts for,7 days
"Anxiety, Restless legs syndrome, Hyperthyroidism",common in,Pan-India
"Anxiety, Restless legs syndrome, Hyperthyroidism",available in language,"English, Hindi, Bengali, Malayalam"
Feeling hopeless,indicates,"Depression, Anxiety, Chronic illness"
"Depression, Anxiety, Chronic illness",has severity,Moderate
"Depression, Anxiety, Chronic illness",lasts for,30 days
"Depression, Anxiety, Chronic illness",common in,Pan-India
"Depression, Anxiety, Chronic illness",available in language,"English, Hindi, Tamil, Kannada"
Feeling worthless,indicates,"Depression, Low self-esteem, Trauma"
"Depression, Low self-esteem, Trauma",has severity,Moderate
"Depression, Low self-esteem, Trauma",lasts for,30 days
"Depression, Low self-esteem, Trauma",common in,Pan-India
"Depression, Low self-esteem, Trauma",available in language,"English, Hindi, Bengali, Marathi"
Loss of interest in activities,indicates,"Depression, Anhedonia, Chronic fatigue syndrome"
"Depression, Anhedonia, Chronic fatigue syndrome",has severity,Moderate
"Depression, Anhedonia, Chronic fatigue syndrome",lasts for,30 days
"Depression, Anhedonia, Chronic fatigue syndrome",common in,Pan-India
"Depression, Anhedonia, Chronic fatigue syndrome",available in language,"English, Hindi, Tamil, Telugu"
Social isolation,indicates,"Depression, Anxiety, Agoraphobia"
"Depression, Anxiety, Agoraphobia",has severity,Moderate
"Depression, Anxiety, Agoraphobia",lasts for,60 days
"Depression, Anxiety, Agoraphobia",common in,Pan-India
"Depression, Anxiety, Agoraphobia",available in language,"English, Hindi, Bengali, Malayalam"
Excessive worry,indicates,"Generalized anxiety disorder, Panic disorder, OCD"
"Generalized anxiety disorder, Panic disorder, OCD",has severity,Moderate
"Generalized anxiety disorder, Panic disorder, OCD",lasts for,90 days
"Generalized anxiety disorder, Panic disorder, OCD",common in,Urban India
"Generalized anxiety disorder, Panic disorder, OCD",available in language,"English, Hindi, Tamil, Kannada"
Panic attacks,indicates,"Panic disorder, Agoraphobia, Specific phobia"
"Panic disorder, Agoraphobia, Specific phobia",has severity,Severe
"Panic disorder, Agoraphobia, Specific phobia",lasts for,1 days
"Panic disorder, Agoraphobia, Specific phobia",common in,Urban India
"Panic disorder, Agoraphobia, Specific phobia",available in language,"English, Hindi, Bengali, Marathi"
Phobias,indicates,"Specific phobia, Social anxiety disorder, Agoraphobia"
"Specific phobia, Social anxiety disorder, Agoraphobia",has severity,Moderate
"Specific phobia, Social anxiety disorder, Agoraphobia",lasts for,180 days
"Specific phobia, Social anxiety disorder, Agoraphobia",common in,Pan-India
"Specific phobia, Social anxiety disorder, Agoraphobia",available in language,"English, Hindi, Tamil, Telugu"
Obsessive thoughts,indicates,"Obsessive-compulsive disorder (OCD), Anxiety, Depression"
"Obsessive-compulsive disorder (OCD), Anxiety, Depression",has severity,Moderate
"Obsessive-compulsive disorder (OCD), Anxiety, Depression",lasts for,90 days
"Obsessive-compulsive disorder (OCD), Anxiety, Depression",common in,Urban India
"Obsessive-compulsive disorder (OCD), Anxiety, Depression",available in language,"English, Hindi, Bengali, Malayalam"
Compulsive behaviors,indicates,"Obsessive-compulsive disorder (OCD), Anxiety, Tic disorders"
"Obsessive-compulsive disorder (OCD), Anxiety, Tic disorders",has severity,Moderate
"Obsessive-compulsive disorder (OCD), Anxiety, Tic disorders",lasts for,90 days
"Obsessive-compulsive disorder (OCD), Anxiety, Tic disorders",common in,Urban India
"Obsessive-compulsive disorder (OCD), Anxiety, Tic disorders",available in language,"English, Hindi, Tamil, Kannada"
Flashbacks,indicates,"Post-traumatic stress disorder (PTSD), Acute stress disorder, Anxiety"
"Post-traumatic stress disorder (PTSD), Acute stress disorder, Anxiety",has severity,Severe
"Post-traumatic stress disorder (PTSD), Acute stress disorder, Anxiety",lasts for,7 days
"Post-traumatic stress disorder (PTSD), Acute stress disorder, Anxiety",common in,Pan-India
"Post-traumatic stress disorder (PTSD), Acute stress disorder, Anxiety",available in language,"English, Hindi, Bengali, Marathi"
Nightmares,indicates,"PTSD, Anxiety, Stress"
"PTSD, Anxiety, Stress",has severity,Moderate
"PTSD, Anxiety, Stress",lasts for,14 days
"PTSD, Anxiety, Stress",common in,Pan-India
"PTSD, Anxiety, Stress",available in language,"English, Hindi, Tamil, Telugu"
Feeling emotionally numb,indicates,"PTSD, Depression, Dissociative disorder"
"PTSD, Depression, Dissociative disorder",has severity,Moderate
"PTSD, Depression, Dissociative disorder",lasts for,30 days
"PTSD, Depression, Dissociative disorder",common in,Pan-India
"PTSD, Depression, Dissociative disorder",available in language,"English, Hindi, Bengali, Malayalam"
Difficulty trusting others,indicates,"PTSD, Personality disorder, Past trauma"
"PTSD, Personality disorder, Past trauma",has severity,Moderate
"PTSD, Personality disorder, Past trauma",lasts for,180 days
"PTSD, Personality disorder, Past trauma",common in,Pan-India
"PTSD, Personality disorder, Past trauma",available in language,"English, Hindi, Tamil, Kannada"
Hearing voices,indicates,"Schizophrenia, Bipolar disorder (mania), Severe depression"
"Schizophrenia, Bipolar disorder (mania), Severe depression",has severity,Severe
"Schizophrenia, Bipolar disorder (mania), Severe depression",lasts for,30 days
"Schizophrenia, Bipolar disorder (mania), Severe depression",common in,Pan-India
"Schizophrenia, Bipolar disorder (mania), Severe depression",available in language,"English, Hindi, Bengali, Marathi"
Seeing things that aren't there,indicates,"Schizophrenia, Delirium, Drug withdrawal"
"Schizophrenia, Delirium, Drug withdrawal",has severity,Severe
"Schizophrenia, Delirium, Drug withdrawal",lasts for,14 days
"Schizophrenia, Delirium, Drug withdrawal",common in,Pan-India
"Schizophrenia, Delirium, Drug withdrawal",available in language,"English, Hindi, Tamil, Telugu"
Paranoia,indicates,"Schizophrenia, Delusional disorder, Severe anxiety"
"Schizophrenia, Delusional disorder, Severe anxiety",has severity,Severe
"Schizophrenia, Delusional disorder, Severe anxiety",lasts for,30 days
"Schizophrenia, Delusional disorder, Severe anxiety",common in,Pan-India
"Schizophrenia, Delusional disorder, Severe anxiety",available in language,"English, Hindi, Bengali, Malayalam"
Delusions,indicates,"Schizophrenia, Bipolar disorder, Delusional disorder"
"Schizophrenia, Bipolar disorder, Delusional disorder",has severity,Severe
"Schizophrenia, Bipolar disorder, Delusional disorder",lasts for,60 days
"Schizophrenia, Bipolar disorder, Delusional disorder",common in,Pan-India
